Procede Data Log
OpenFlash Data File 1
14
Time[s],RPM,Throttle,MAF Volt.,Ignition Adv.,AFR,STFT,LTFT,FLKC,Command AFR,Fuel Sys. Status,Wideband AFR,MAF,O2S2 Volt,A/F Sensor V
0,1367,12.47,2.13,6.5,12.75,19.53,23.44,0,14.59,2,18,16.92,0,1.82
0.11,1351.25,16.9,2.24,5,12.63,4.69,26.56,0,14.59,2,18,17.85,0,1.73
0.22,1375.25,22.91,2.23,2,13.21,2.34,25.78,0,14.35,2,18,20.48,0,1.94
0.32,1489,24.38,2.25,1.5,14.01,1.56,26.56,0,14.35,2,18,19.63,0,2.19
0.42,1668.5,17.31,2.24,4.5,14.93,3.91,26.56,0,14.35,2,18,20.48,0,2.21
0.52,1900,16.3,2.31,8,14.36,6.25,25.78,0,14.47,2,18,20.66,0,2.08
0.62,1963.25,14.4,2.33,9,14.36,7.03,25.78,0,14.47,2,18,23.92,0,2.15
0.72,1990.5,13.78,2.34,10,14.7,7.81,25,0,14.59,2,18,23.72,0,2.13
0.82,1963.5,13.66,2.35,9.5,14.47,7.81,25,0,14.59,2,18,23.76,0,2.12
0.93,1949.5,13.48,2.33,9.5,14.7,8.59,25,0,14.59,2,18,23.29,0,2.17
1.04,1945.5,13.39,2.33,9.5,14.13,9.38,25,0,14.59,2,18,23.25,0,2.14
1.16,1945.5,12.52,2.29,9.5,14.47,8.59,22.66,0,14.59,2,18,22.66,0,2.11
1.30,1927,12.23,2.29,9.5,14.47,8.59,22.66,0,14.59,2,18,22.66,0,2.11
1.40,1908.25,12.33,2.28,11.5,14.24,7.81,22.66,0,14.71,2,18,22.31,0,2.12
1.50,1896.25,12.5,2.27,11,13.67,8.59,22.66,0,14.71,2,18,22.12,0,2.16
1.61,1903.75,12.37,2.29,11,14.47,7.81,22.66,0,14.71,2,18,22.16,0,2.12
1.71,1907.5,12.58,2.3,11,13.9,7.03,22.66,0,14.71,2,18,22.43,0,2.14
1.82,1906.25,13.37,2.32,10,14.36,8.59,22.66,0,14.59,2,18,23.25,0,2.27
1.92,1916.25,14.01,2.34,10,14.59,8.59,22.66,0,14.59,2,18,23.84,0,2.24
2.02,1945.75,14.08,2.36,9.5,14.24,8.59,22.66,0,14.59,2,18,24.24,0,2.19
2.12,1950.25,14.43,2.38,9.5,14.81,8.59,22.66,0,14.59,2,18,25.19,0,2.22
2.22,1961,14.5,2.35,9.5,14.7,10.16,22.66,0,14.59,2,18,24.61,0,2.25
2.32,1981,14.26,2.36,9.5,14.36,8.59,22.66,0,14.59,2,18,24.78,0,2.06
2.42,1991.5,14.09,2.34,9.5,13.78,8.59,22.66,0,14.59,2,18,24.08,0,2.08
2.53,1987.25,13.51,2.32,9.5,14.24,7.81,22.66,0,14.59,2,18,23.76,0,2.02
2.63,1984.5,12.01,2.28,10,13.9,7.03,22.66,0,14.59,2,18,23.52,0,2.05
2.73,1965.5,11.25,2.26,10.5,13.44,6.25,22.66,0,14.71,2,18,21.59,0,2.02
2.83,1981.5,10.79,2.24,14,14.01,5.47,22.66,0,14.71,2,18,21.07,0,2.02
2.94,1982.75,10.16,2.21,15.5,13.32,4.69,22.66,0,14.82,2,18,19.7,0,2
3.04,1941,9.27,2.15,18,13.44,1.56,23.44,0,14.82,2,18,18.76,0,2.01
3.14,1894.75,9.08,2.14,19,14.01,1.56,24.22,0,14.94,2,18,17.78,0,2.09
3.24,1844,9.76,2.18,20.5,14.36,0.78,24.22,0,14.94,2,18,18.62,0,2.17
3.34,1838,10.95,2.23,20.5,14.59,1.56,25,0,14.94,2,18,20.88,0,2.22
3.44,1835,11.04,2.23,17.5,15.39,2.34,25,0,14.82,2,18,19.98,0,2.28
3.54,1836,10.82,2.21,16,14.81,3.91,22.66,0,14.82,2,18,20.12,0,2.21
3.64,1843.75,9.98,2.16,17,15.62,4.69,23.44,0,14.82,2,18,18.52,0,2.23
3.74,1850.5,9.62,2.15,18,14.59,5.47,23.44,0,14.82,2,18,18.42,0,2.22
3.84,1844.25,8.92,2.11,19.5,14.7,5.47,24.22,0,14.94,2,18,17.68,0,2.21
3.94,1801.75,8.13,2.07,20,14.01,4.69,25,0,14.94,2,18,15.61,0,2.12
4.04,1698,8.15,2.03,20.5,14.36,3.91,25.78,0,14.94,2,18,15.36,0,2.06
4.14,1726.75,8.45,2.04,21.5,14.47,4.69,25.78,0,14.94,2,18,15.49,0,2.07
4.24,1828.5,8.67,2.1,25.5,13.09,3.12,26.56,0,14.94,2,18,15.96,0,2.04
4.34,1945,7.85,2.07,26,13.55,-0.78,27.34,0,14.94,2,18,16.79,0,1.93
4.45,1958.25,8.68,2.12,26.5,13.67,-2.34,27.34,0,14.94,2,18,17.82,0,1.97
4.56,1963,10.42,2.24,26,14.93,-1.56,27.34,0,14.94,2,18,19.63,0,2.14
4.67,1900,13.44,2.33,24,14.59,-1.56,27.34,0,14.94,2,18,24.04,0,2.17
4.77,1865.75,14.2,2.33,12.5,15.39,1.56,26.56,0,14.82,2,18,24.24,0,2.27
4.87,1812.5,14.76,2.3,9.5,14.7,2.34,26.56,0,14.71,2,18,23.33,0,2.25
4.97,1781.5,15.11,2.28,8.5,14.93,2.34,26.56,0,14.59,2,18,22.77,0,2.22
5.07,1787.5,15.07,2.26,8.5,14.81,3.91,25.78,0,14.59,2,18,22,0,2.19
5.18,1790.5,12.81,2.2,9,14.81,3.91,25,0,14.59,2,18,20.27,0,2.19
5.29,2146.5,11.74,2.23,11.5,14.24,6.25,25,0,14.59,2,18,20.12,0,2.08
5.39,2339.5,10.43,2.26,21,13.55,3.12,25,0,14.82,2,18,21.85,0,1.99
5.49,2548,10.23,2.31,12,14.47,3.91,25,0,14.82,2,18,21.7,0,2.13
5.60,2484,9.62,2.27,17,14.01,2.34,22.66,0,14.82,2,18,22.93,0,2.12
5.71,2526.25,9.7,2.28,30,13.9,0.78,22.66,0,14.82,2,18,21.81,0,2.07
5.82,2529.75,6.02,2.08,31.5,14.36,0,22.66,0,14.82,2,18,16.6,0,2.09
5.92,2519,3.6,1.87,33.5,14.81,1.56,23.44,0,14.82,2,18,11.99,0,2.2
6.03,2543.75,0.84,1.68,36.5,14.47,0.78,22.66,0,14.82,2,18,7.77,0,2.17
6.14,2530,0,1.54,37.5,14.47,0,22.66,0,14.82,2,18,5.4,0,2.18
6.24,2531.5,0,1.5,35.5,13.67,0,23.44,0,14.82,2,18,5.09,0,2.17
6.34,2483.75,0,1.51,32.5,12.86,0,24.22,0,14.82,2,18,5.07,0,1.81
6.44,2539,0,1.54,28.5,12.86,0,25,0,15.06,4,18,5.44,0,1.79
6.54,2512.75,0.43,1.53,30.5,12.52,0,25,0,15.06,4,18,5.72,0,1.81
