Procede Data Log
OpenFlash Data File 1
13
Time[s],RPM,Throttle,MAF Volt.,Engine Load,Intake Air Temp.,Ignition Adv.,AFR,STFT,LTFT,Boost,FLKC,Oil Temp.,Command AFR
0,1330.5,0,1.36,0.16,87.8,13,15.85,0,21.88,-10.43,0,197.6,15.06
0.10,1321.25,0,1.36,0.16,87.8,12.5,18.49,0,21.88,-10.29,0,197.6,15.06
0.20,1322.75,0,1.35,0.16,87.8,12.5,19.29,0,21.88,-10.29,0,197.6,15.06
0.30,1322.5,0.59,1.38,0.16,87.8,12.5,20.33,0,21.88,-10.14,0,197.6,15.06
0.40,1380.25,5.1,1.59,0.24,87.8,16.5,20.33,0,21.09,-9.85,0,197.6,15.06
0.50,1371.5,5.13,1.8,0.43,87.8,0,20.33,0,21.09,-8.55,0,197.6,15.06
0.60,1440,5.4,1.84,0.44,87.8,7.5,20.33,0,20.31,-7.97,0,197.6,15.06
0.71,1513,5.59,1.88,0.44,87.8,28.5,20.33,0,20.31,-7.39,0,197.6,15.06
0.81,1566,5.73,1.91,0.46,87.8,29,17.92,0,20.31,-7.1,0,197.6,15.06
0.92,1574.75,5.69,1.9,0.45,87.8,29,14.36,-0.78,20.31,-6.66,0,197.6,15.06
1.02,1607.5,5.89,1.92,0.45,87.8,29,13.78,-2.34,20.31,-6.08,0,197.6,14.82
1.13,1552.75,6.19,1.93,0.46,87.8,27.5,12.98,-6.25,20.31,-5.5,0,197.6,14.82
1.24,1507.25,9.49,2.05,0.56,87.8,26.5,13.78,-7.03,20.31,-5.21,0,197.6,14.82
1.34,1511.25,10.44,2.14,0.7,87.8,24,15.04,-5.47,20.31,-4.2,0,197.6,14.82
1.44,1558,10.73,2.14,0.7,87.8,22.5,16.88,-3.12,20.31,-3.47,0,197.6,14.71
1.54,1561.25,11.09,2.13,0.66,87.8,20,16.77,2.34,20.31,-3.03,0,197.6,14.71
1.64,1548.25,15.54,2.13,0.67,87.8,16,15.16,3.12,21.88,-1.87,0,197.6,14.71
1.74,1572.75,14.65,2.2,0.76,87.8,12.5,14.13,2.34,21.88,-1.73,0,197.6,14.71
1.84,1565.25,11.29,2.06,0.73,87.8,11.5,14.47,2.34,20.31,-1.73,0,197.6,14.71
1.94,1550.25,11.54,2.11,0.65,87.8,14,13.9,1.56,20.31,-1.73,0,197.6,14.71
